timestamp_us,t_s,imu_wx_rad_s,imu_wy_rad_s,imu_wz_rad_s,imu_ax_m_s2,imu_ay_m_s2,imu_az_m_s2,mag_x,mag_y,mag_z,baro_alt_m,baro_alt_rel_m,baro_z_down_rel_m,gps_available,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_n_m,gps_e_m,gps_d_m,gps_vn_m_s,gps_ve_m_s,gps_vd_m_s,gps_fix_type,gps_sats,gps_eph_m,gps_epv_m,gps_interp_n_m,gps_interp_e_m,gps_interp_d_m,gps_interp_vn_m_s,gps_interp_ve_m_s,gps_interp_vd_m_s,px4_local_n_m,px4_local_e_m,px4_local_d_m,px4_local_vn_m_s,px4_local_ve_m_s,px4_local_vd_m_s,att_q0,att_q1,att_q2,att_q3,att_roll_rad,att_pitch_rad,att_yaw_rad,est_q0,est_q1,est_q2,est_q3,est_vn_m_s,est_ve_m_s,est_vd_m_s,est_n_m,est_e_m,est_d_m,ias_m_s,tas_m_s,px4_wind_n_m_s,px4_wind_e_m_s,px4_wind_d_m_s
2501255053,0.0,0.04355891922800001,-0.014107514796,0.14867896072,0.9477988804,-0.024737382799999992,-9.738294531999998,,,,318.8336,5.3567299999999864,-5.3567299999999864,0,,,,,,,,,,,,,,3.1985402504863196,-67.62151491697307,-9.302821993811248,-4.195056166175572,-13.356542955151074,-2.457361649289473,3.3075658768747624,-68.07516562198708,-6.2061221809733365,-4.154433934764867,-13.346767074350408,-2.5072296904326605,0.615138543691596,0.1087143457355377,0.0054366119820358156,-0.7808683195468326,0.12760171987225685,0.1774008429697149,-1.7957608275121122,,,,,,,,,,,12.79833217864094,13.263587354320048,0.4544488614335212,-1.818717199744514,0.0
2501355053,0.10000000000002274,0.12244938948000002,-0.0028353636505600004,0.21183081720000005,1.1301741012000002,-0.07917768759999999,-9.013615295999998,,,,318.93211857142853,5.4552485714285535,-5.4552485714285535,1,47.3840167,8.1497523,416.797,2.849778964670861,-68.72453660570275,-9.511000000000024,-4.1460004,-13.345,-2.398,4.0,18.0,0.55600005,0.81100005,2.7861234585656085,-68.9424993257058,-9.55282507087467,-4.113569599478002,-13.340425423717882,-2.397346483267584,2.914637284689934,-69.40335058445805,-6.449285723289138,-4.00981684069802,-13.326145074499077,-2.4702094162673167,0.6207451006599238,0.10961575449272648,0.002720581969913217,-0.7763056731363551,0.1342980885150258,0.17445025507135326,-1.7808199627518002,,,,,,,,,,,12.554527839416659,13.012125463541237,0.4729864146795238,-1.8141755344037838,0.0
2501455053,0.1999999999999318,0.21944739079999992,-0.005722635085999999,0.2634184212,1.3377369205599996,0.19518098863999994,-9.606702720000001,,,,319.29789666666665,5.821026666666654,-5.821026666666654,0,,,,,,,,,,,,,,2.396507189100235,-70.27658379138728,-9.80882379088107,-3.9150703919740404,-13.312425813715931,-2.393346503267484,2.5342478832980526,-70.73005087637596,-6.684818470448772,-3.86124620607536,-13.310711875740896,-2.3947749006773917,0.6283472707051482,0.11349560717472698,-0.0032102304020187205,-0.7695980268087363,0.1503331697460226,0.17149005781468546,-1.7592502637678882,,,,,,,,,,,12.305770245457012,12.752791955519392,0.4789845256490797,-1.8091966944734876,0.0
2501555053,0.2999999999999545,0.16621524540000002,0.010069442076000001,0.2550835992,1.3091094143199995,0.1261655815999999,-10.334331000000002,,,,319.3979314285715,5.921061428571412,-5.921061428571412,1,47.3840097,8.1497169,417.309,2.07054252957742,-71.39271887791038,-10.023000000000025,-3.749,-13.2890005,-2.39,4.0,18.0,0.558,0.814,2.011792467798095,-71.61212264505255,-10.066540264696105,-3.7163448179704615,-13.289577738357714,-2.3891753737746955,2.168125931037033,-72.05690932500374,-6.912994868593133,-3.6813075824848815,-13.304532607296716,-2.360366450381328,0.6371169658579345,0.1200618017143036,-0.013219874312995022,-0.7612403493848418,0.17646120979320362,0.16671238456721665,-1.733079522421994,,,,,,,,,,,12.234975837818048,12.680934994691562,0.48441162087454337,-1.8046682682320345,0.0
2501655053,0.39999999999997726,0.2573557176,0.0003009158639999991,0.2523438967999999,1.3326546676800002,0.31316770239999997,-9.621890844,,,,319.77765857142856,6.300788571428565,-6.300788571428565,0,,,,,,,,,,,,,,1.6521789415734247,-72.95510952845935,-10.333053484357494,-3.516460004176383,-13.29311105755777,-2.384127774917472,1.8233689509919009,-73.38366927752224,-7.1397142625177485,-3.4630706006439356,-13.306210555324467,-2.381666478369163,0.6457182755954951,0.12557539219615205,-0.02045672079831065,-0.7528989769572971,0.19685056632761097,0.16339519532612692,-1.7075940276663273,,,,,,,,,,,12.173153586724577,12.616462546973844,0.48792077820408464,-1.8016526995459337,0.0
2501755053,0.5,0.28176263040000005,-0.03717267794399999,0.2672428644,1.0593348811999999,0.20912174960000002,-8.759415576000002,,,,320.06038428571435,6.583514285714281,-6.583514285714281,1,47.384003299999996,8.1496816,417.837,1.3580977882326757,-74.05336391210291,-10.550999999999988,-3.3530002,-13.2960005,-2.38,4.0,18.0,0.56,0.81600004,1.300832004655239,-74.29280795502046,-10.59432019255531,-3.309409247216169,-13.300603315584203,-2.369260220312407,1.5031326001413625,-74.7113164222314,-7.36494749584279,-3.226156207508559,-13.312961458976035,-2.3505877978862944,0.6535146059299343,0.13372500092711917,-0.031633087421426336,-0.7443350355336252,0.22662095020303327,0.15838739792599443,-1.6824956875572559,,,,,,,,,,,12.277311090153718,12.724893262152056,0.49144974278002507,-1.7979882754753964,0.0
2501855053,0.6000000000000227,0.17706459868,-0.01385561398,0.2597533896,1.1125314464000002,0.13414110559999998,-8.161763859999999,,,,320.32751666666667,6.850646666666658,-6.850646666666658,0,,,,,,,,,,,,,,0.9865819713048759,-75.60677405784413,-10.832042809881335,-3.0702008140063195,-13.32586159130282,-2.310324920484756,1.2055641932210173,-76.04029949387731,-7.582778320335948,-2.9915322004682063,-13.324170176757773,-2.2111070587398456,0.6613752606157782,0.14100054394172878,-0.04488345547275166,-0.7353125408335154,0.2581852707103029,0.14853234439848303,-1.6572567650661896,,,,,,,,,,,12.418738472762646,12.872058748077098,0.49506311038156714,-1.791558936155127,0.0
2501955053,0.6999999999999318,0.16618023354160003,0.032270688376,0.25335646599999995,1.3270579912,0.383610082,-9.066774340000002,,,,320.4895757142857,7.012705714285695,-7.012705714285695,1,47.3839976,8.1496464,418.317,0.7235766908929565,-76.70647170828035,-11.031000000000006,-2.8700001,-13.347001,-2.2610002,4.0,18.0,0.559,0.81500006,0.6811237690238916,-76.92358134571818,-11.067269873415208,-2.835596453568159,-13.34732556262564,-2.233655790675815,0.933673192541105,-77.37142358988078,-7.783550813287595,-2.7366145672030644,-13.346102774222906,-2.009090182813938,0.6695976329506861,0.1456477247772417,-0.053286858036844416,-0.7263488554358043,0.2787751618123411,0.1406810381006077,-1.6322919106733265,,,,,,,,,,,12.454618847258486,12.909124177110531,0.49648728549169924,-1.7832589274354589,0.0
2502055053,0.7999999999999545,0.18541677644,0.0596155872308,0.24512822239999996,1.3610817404000004,0.20811538175200006,-10.541197215999999,,,,320.6247128571428,7.147842857142832,-7.147842857142832,0,,,,,,,,,,,,,,0.42078819614681473,-78.25497054935978,-11.289688916864048,-2.62462174067283,-13.349315889636367,-2.0659706902638177,0.6900412314142017,-78.7050121873197,-7.968252460491595,-2.4396122041072044,-13.363362885909913,-1.8983220400392353,0.6775282829309268,0.15179552231139146,-0.06001240339845117,-0.7171513092974019,0.29895428286946374,0.13682089187922122,-1.6069643619707374,,,,,,,,,,,12.533099623148148,12.99014020324074,0.4885882819772862,-1.7669922437767442,0.0
2502155053,0.8999999999999773,0.11416224217200002,0.0429842518,0.250294596,1.4813609312000002,0.35210525439999996,-10.756316276,,,,320.77192857142865,7.295058571428545,-7.295058571428545,1,47.383992899999996,8.149610899999999,418.764,0.20037508337043763,-79.38219121862294,-11.478000000000009,-2.446,-13.351001,-1.9240001,4.0,18.0,0.559,0.814,0.17220819097611384,-79.5925532716201,-11.495788600000006,-2.3789093826675,-13.349544175,-1.9221599,0.47874637006152015,-80.04137302907323,-8.149588716193689,-2.0827329039114906,-13.389778582298074,-1.918928742952967,0.6849874097601844,0.15949104481873677,-0.06641812044362776,-0.707769356839417,0.320872663368169,0.13517997611332344,-1.5815996007397373,,,,,,,,,,,12.321042207301295,12.770288933456563,0.47955161816918945,-1.7507992638076173,0.0
